"Comment","Designator","Footprint","LCSC Part #"
"Li-Po Battery","BT1","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","no_part_number"
"0402 1uF","C1","C_0402_1005Metric","no_part_number"
"0.1uf 0402","C2","C_0402_1005Metric","no_part_number"
"1uf 0402","C3,C20,C21","C_0402_1005Metric","no_part_number"
"0402 10uF","C4","R_0402_1005Metric","no_part_number"
"10uf 0402 6.3V","C5","C_0402_1005Metric","no_part_number"
"10uf 0402","C6","C_0402_1005Metric","no_part_number"
"4.7uf 0402","C7,C9","C_0402_1005Metric","no_part_number"
"100nf 0402","C8,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19","C_0402_1005Metric","no_part_number"
"22pf 0402","C22,C23","C_0402_1005Metric","no_part_number"
"1n4002W","D1","D_SOD-123","no_part_number"
"0402 led","D2,D3","LED_0402_1005Metric","no_part_number"
"TYPE-C-31-M-12","E1","HRO-TYPE-C-31-M-12","no_part_number"
"W25Q16JVUXIQ","FLASH1","SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm","no_part_number"
"MountingHole_Pad","H1,H2,H3,H4","MountingHole_2.2mm_M2","no_part_number"
"Button","J1","SW_Push_SPST_NO_Alps_SKRK","no_part_number"
"SKRKAEE020","J2","SW_Push_SPST_NO_Alps_SKRK","no_part_number"
"Conn_01x05","J3","PinHeader_1x05_P2.54mm_Vertical","no_part_number"
"Conn_01x09","J4","PinHeader_1x09_P2.54mm_Vertical","no_part_number"
"Conn_02x02_Top_Bottom","J5,J6,J7,J8","PinHeader_2x02_P1.27mm_Vertical","no_part_number"
"Conn_01x03","J9","PinHeader_1x03_P1.27mm_Vertical","no_part_number"
"39 ohm 0402","R1","R_0402_1005Metric","no_part_number"
"4.12K 0402","R2","R_0402_1005Metric","no_part_number"
"10k 0402","R3","R_0402_1005Metric","no_part_number"
"10K 0402","R4,R6,R12","R_0402_1005Metric","no_part_number"
"5.1K","R5,R8","R_0402_1005Metric","no_part_number"
"1.5K 0402","R7,R9","R_0402_1005Metric","no_part_number"
"1.18K 0402","R10","R_0402_1005Metric","no_part_number"
"1.13K 0402","R11","R_0402_1005Metric","no_part_number"
"1K 0402","R13,R16","R_0402_1005Metric","no_part_number"
" 27Ohms  0402 Resistor","R14","C_0402_1005Metric","no_part_number"
" 27Ohms 0402 Resistor","R15","C_0402_1005Metric","no_part_number"
"SW_Push_SPDT","SW1,SW2,SW3","MouseSwitch","no_part_number"
"AP2112K-3.3","U1","SOT-23-5","no_part_number"
"TLV70218DBVR","U2","SOT-23-5","no_part_number"
"BQ24074RGT","U3","VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm","no_part_number"
"PMW3360DM-T2QU","U4","DIP-16_W10.16mm","no_part_number"
"RP2040","U5","RP2040-QFN-56","no_part_number"
"EC10E1220501","VR1","TRIM_EC10E1220501","no_part_number"
"3225_4P 12MHz","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","no_part_number"
