Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Li-Po Battery,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,48.850000,-79.350000,0.000000,top
C1,0402 1uF,C_0402_1005Metric,54.600000,-24.038540,0.000000,top
C2,0.1uf 0402,C_0402_1005Metric,48.370000,-28.438540,0.000000,top
C3,1uf 0402,C_0402_1005Metric,48.370000,-33.688540,0.000000,top
C4,0402 10uF,R_0402_1005Metric,56.325000,-26.153540,180.000000,top
C5,10uf 0402 6.3V,C_0402_1005Metric,48.370000,-27.338540,180.000000,top
C6,10uf 0402,C_0402_1005Metric,49.325000,-21.625000,0.000000,top
C7,4.7uf 0402,C_0402_1005Metric,50.450000,-27.388540,90.000000,top
C8,100nf 0402,C_0402_1005Metric,69.605000,-76.150000,0.000000,top
C9,4.7uf 0402,C_0402_1005Metric,69.605000,-75.100000,0.000000,top
C10,100nf 0402,C_0402_1005Metric,59.750000,-33.494999,90.000000,top
C11,100nf 0402,C_0402_1005Metric,61.274999,-34.949999,90.000000,top
C12,100nf 0402,C_0402_1005Metric,63.364999,-47.704999,-90.000000,top
C13,100nf 0402,C_0402_1005Metric,67.580000,-39.000000,0.000000,top
C14,100nf 0402,C_0402_1005Metric,70.810589,-43.710589,-45.000000,top
C15,100nf 0402,C_0402_1005Metric,62.440000,-47.705000,-90.000000,top
C16,100nf 0402,C_0402_1005Metric,55.845000,-42.924999,180.000000,top
C17,100nf 0402,C_0402_1005Metric,57.420000,-38.800000,180.000000,top
C18,100nf 0402,C_0402_1005Metric,62.300000,-34.954999,90.000000,top
C19,100nf 0402,C_0402_1005Metric,67.575000,-38.049999,0.000000,top
C20,1uf 0402,C_0402_1005Metric,65.425000,-36.845000,90.000000,top
C21,1uf 0402,C_0402_1005Metric,64.500000,-36.845000,90.000000,top
C22,22pf 0402,C_0402_1005Metric,63.500000,-50.804999,90.000000,top
C23,22pf 0402,C_0402_1005Metric,60.180000,-54.124999,0.000000,top
D1,1n4002W,D_SOD-123,65.750000,-30.400000,90.000000,top
D2,0402 led,LED_0402_1005Metric,54.050000,-30.182500,-90.000000,top
D3,0402 led,LED_0402_1005Metric,55.050000,-30.182500,-90.000000,top
FLASH1,W25Q16JVUXIQ,SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm,57.412499,-34.724999,0.000000,top
J1,Button,SW_Push_SPST_NO_Alps_SKRK,71.800000,-23.900000,-90.000000,top
J2,SKRKAEE020,SW_Push_SPST_NO_Alps_SKRK,67.050000,-51.170000,-90.000000,top
J3,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,77.600000,-65.560000,180.000000,top
J4,Conn_01x09,PinHeader_1x09_P2.54mm_Vertical,77.600000,-72.580000,0.000000,top
J5,Conn_02x02_Top_Bottom,PinHeader_2x02_P1.27mm_Vertical,48.350000,-129.300000,180.000000,top
J6,Conn_02x02_Top_Bottom,PinHeader_2x02_P1.27mm_Vertical,77.875000,-129.350000,180.000000,top
J7,Conn_02x02_Top_Bottom,PinHeader_2x02_P1.27mm_Vertical,48.345000,-49.200000,180.000000,top
J8,Conn_02x02_Top_Bottom,PinHeader_2x02_P1.27mm_Vertical,77.870000,-49.250000,180.000000,top
J9,Conn_01x03,PinHeader_1x03_P1.27mm_Vertical,63.775000,-57.950000,-90.000000,top
R1,39 ohm 0402,R_0402_1005Metric,54.900000,-76.500000,0.000000,top
R2,4.12K 0402,R_0402_1005Metric,52.600000,-23.138540,-90.000000,top
R3,10k 0402,R_0402_1005Metric,48.350001,-26.338542,180.000000,top
R4,10K 0402,R_0402_1005Metric,54.900000,-71.175001,0.000000,top
R5,5.1K,R_0402_1005Metric,68.409999,-24.400000,180.000000,top
R6,10K 0402,R_0402_1005Metric,50.600000,-23.148539,-90.000000,top
