Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,LCSC,Description,MANUFACTURER
"C1, C4",2,22pf 0402,C_0402_1005Metric,,,,smt, ,,
"C10, C11, C14, C15, C16, C17, C18, C19, C20, C7, C8",11,100nf 0402,C_0402_1005Metric,,,,smt, ,,
"C12, C13, C6",3,1uf 0402,C_0402_1005Metric,,,,smt,,,
C2,1,10uf 0402 6.3V,C_0402_1005Metric,,,,smt,,,
C3,1,10uf 0402,C_0402_1005Metric,,,,smt,,,
C5,1,0.1uf 0402,C_0402_1005Metric,,,,smt,,,
C9,1,4.7uf 0402,C_0402_1005Metric,,,,smt,,,
D1,1,1n5819W,D_SOD-123,,,,smt,,,
FLASH1,1,W25Q16JVUXIQ,SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm,,,,smt,,,
"H1, H2, H3, H4, H5, H5, H6, H6, H7, H8",10,MountingHole_Pad,MountingHole_2.2mm_M2,,,,tht,,,
"J1, J3",2,B3U-1000P,SW_Push_SPST_NO_Alps_SKRK,,,,smt, ,,
"J10, J12, J13, J14, J15, J9",6,0.8mm BM03B,JST_SUR_BM03B-SURS-TF_1x03-1MP_P0.80mm_Vertical,,,,smt,,,
J11,1,Conn_02x02 Pins,PinHeader_1x02_P1.27mm_Vertical,,,,tht,,,
J16,1,Conn_01x14,PinHeader_1x14_P1.00mm_Vertical,,,,tht,,"Generic connector, single row, 01x14, script generated (kicad-library-utils/schlib/autogen/connector/)",
J2,1,Conn_01x03,PinHeader_1x03_P1.27mm_Vertical,,,,tht,,,
J4,1,Conn_02x02 Socket,PinSocket_1x02_P1.27mm_Vertical,,,,tht,,,
"J5, J6",2,Conn_02x02 Socket,PinSocket_2x02_P1.27mm_Vertical,,,,tht,,,
"J7, J8",2,Conn_02x02 Pins,PinHeader_2x02_P1.27mm_Vertical,,,,tht,,,
R1,1,39 ohm 0402,R_0402_1005Metric,,,,smt,,,
R10,1,27Ohms 0402 Resistor,C_0402_1005Metric,,,,smt,,,
"R2, R6",2,1K 0402,R_0402_1005Metric,,,,smt, ,,
R3,1,10k 0402,R_0402_1005Metric,,,,smt,,,
"R4, R7",2,10K 0402,R_0402_1005Metric,,,,smt,  ,,
"R5, R8",2,5.1K,R_0402_1005Metric,,,,smt,,,
R9,1,27Ohms  0402 Resistor,C_0402_1005Metric,,,,smt,,,
"SW1, SW2, SW3",3,Kailh GM switch,MouseSwitch,,,,tht,,,
"SW4, SW5, SW6, SW7, SW8, SW9",6,B3U-1000P,SW_SPST_B3U-1000P,,,,smt,,,
U1,1,AP2112K-3.3,SOT-23-5,,,,smt,,,
U2,1,TLV70218DBVR,SOT-23-5,,,,smt,,,
U3,1,RP2040,RP2040-QFN-56,,,,smt,,,
U4,1,PMW3360DM-T2QU,DIP-16_W10.16mm,,,,tht,,,
VR1,1,EC10E1220501,TRIM_EC10E1220501,,,,tht,,,ALPS
Y1,1,3225_4P 12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,,,,smt, ,,
e1,1,TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,,,,smt,,,
